listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
39383042,Big house & great garden near The Junction. A home,Entire home,entire_home,https://a0.muscache.com/im/pictures/726eddc7-2e17-49ec-93d2-171a7ccf2710.jpg,21,3706269,Paul,"","",false,-1.2976,36.7576,6,3,3,2.5,false,"Wifi,Backyard,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Books and reading material,Pets allowed,Hangers,Hot water,Iron,Dedicated workspace,Outdoor furniture,Private entrance",false,,4,Strict,KES,0,0,29,4.72,4.9,4.9,4.6,4.9,5.0,4.8,16234.0,2095407.0,153.2,19789.3,0.282,0.0,44.5,5740.8,0.0,0.0,103,0,262,365,782.0,101037.0,150.0,19374.9,0.056,0.0,8.7,1122.6,0.0,0.0,5,0,85,90
39429111,"Zanna Guests, luxury apartment in quiet suburbs",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzk0MjkxMTE%3D/original/2ad970b6-53f7-4e88-a10d-3197a75e57bf.jpeg,66,302243712,Juliet,"","",false,-1.2773,36.7884,6,3,3,2.5,false,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Children’s dinnerware,Hot water,Bed linens,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Smoke alarm,Shower gel,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Iron,Dedicated workspace,Baking sheet,Private entrance,Sound system,Baby bath",true,false,2,Flexible,KES,20,0,25,5.0,5.0,5.0,4.9,5.0,4.9,5.0,1859.0,240425.0,61.9,7997.9,0.082,0.0,5.1,658.7,0.0,0.0,30,0,335,365,515.0,66539.0,61.6,7960.3,0.1,0.0,5.7,739.3,0.0,0.0,9,0,81,90
39630135,The Holiday Working Garden Home,Entire home,entire_home,https://a0.muscache.com/im/pictures/cec52e25-3f95-4d79-abc9-fede10353b1e.jpg,20,157650316,Sheba,"","",false,-1.3719,36.7364,2,1,1,1.0,false,"TV,Wifi,Pool,Free parking on premises,Room-darkening shades,Hot water,Body soap,Mosquito net,Outdoor furniture,Microwave,Hammock,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,BBQ grill,Shower gel,Patio or balcony,Backyard,Essentials,Long term stays allowed,Hangers,Iron,Dedicated workspace",true,,3,Strict,KES,30,0,36,4.83,4.8,4.8,4.8,5.0,4.8,4.8,2928.0,378243.0,35.0,4519.8,0.26,0.286,8.0,1036.3,8.8,1139.3,95,33,270,365,188.0,24291.0,41.9,5407.9,0.056,0.088,2.1,269.9,3.3,426.2,5,33,85,90
39643823,Le Mac Executive Fully Furnished Apartment 1013,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1f8a9a72-7f89-456c-98a6-7ace15d61e02.jpg,33,225211798,Century,"","",true,-1.2638,36.7881,2,1,1,1.0,false,"TV,Wifi,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Gym,Resort access,Elevator,Laundromat nearby,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Iron,Dedicated workspace,Freezer,Private entrance,Blender,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table",true,,3,Flexible,KES,0,0,89,4.81,4.9,4.8,4.8,4.8,4.9,4.8,8937.0,1153747.0,50.7,6548.6,0.504,0.582,24.5,3161.0,28.3,3651.1,184,49,181,365,1100.0,142125.0,53.5,6912.4,0.233,0.0,12.2,1579.2,0.0,0.0,21,0,69,90
39644624,Le Mac Fully Furnished Luxury Apartment 1113,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b465ebd0-07b1-4ca6-9280-7723f96959be.jpg,31,225211798,Century,"","",true,-1.2627,36.7888,2,1,1,1.0,false,"TV,Cable TV,Wifi,Waterfront,Pool,Ski-in/Ski-out,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Gym,Elevator,Cleaning products,Drying rack for clothing,Paid parking on premises,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Iron,Dedicated workspace,Freezer,Private entrance,High chair,Blender,Window guards,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Toaster",true,,3,Flexible,KES,0,0,81,4.84,4.8,4.7,4.9,4.8,4.8,4.8,12239.0,1581284.0,53.6,6924.4,0.644,0.681,33.5,4332.3,35.5,4583.4,235,20,130,365,2103.0,271716.0,59.1,7635.9,0.411,0.529,23.4,3019.1,30.0,3881.7,37,20,53,90
39775530,"Luxury stay :  Looks like a Hotel, feels like home",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/c59873ba-f0bc-4911-9b23-127735b6c5ed.jpg,31,58334970,Grace Kinya,"","",true,-1.2609,36.7831,4,2,2,1.5,false,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Hot water kettle,Hot water,Mini fridge,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Wine glasses,Washer,Dryer,BBQ grill,Shower gel,Patio or balcony,First aid kit,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Toaster",false,,2,Flexible,KES,0,0,33,4.91,4.9,4.9,4.9,4.9,5.0,4.8,5468.0,708299.0,85.5,11046.7,0.178,0.198,15.0,1940.5,16.7,2159.4,65,37,300,365,0.0,0.0,86.3,11144.6,0.0,0.0,0.0,0.0,0.0,0.0,0,33,90,90
39842969,"Apartment, Serene & Modern in Kileleshwa, Nairobi",Entire condo,entire_home,https://a0.muscache.com/im/pictures/7593a6e0-9931-4838-add3-b9823bb40bbe.jpg,31,212319879,Winnie,"","",false,-1.2859,36.7788,2,1,1,1.5,false,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Gym,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Sound system,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Patio or balcony,Long term stays allowed,Cleaning before checkout,Dining table,Toaster",true,false,2,Flexible,KES,6,0,78,5.0,5.0,5.0,5.0,5.0,4.9,5.0,2738.0,353295.0,36.1,4666.2,0.219,0.667,7.5,967.9,22.8,2944.1,80,245,285,365,0.0,0.0,37.7,4867.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
39875956,✨ORAK✨Serene Minimalist ApartHotel/Pool/ Lavington,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzk4NzU5NTY%3D/original/668c6f16-e452-4024-aed1-35ed2323ccbc.jpeg,32,245923686,Lillian,307083849,Lillian,false,-1.2595,36.7830,4,2,2,2.0,false,"TV,Wifi,Pool,Kitchen,Free parking on premises,Hot water kettle,Gym,Breakfast,Elevator,Free street parking,Laundromat nearby,Cleaning products,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Window guards,Babysitter recommendations,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Single level home,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet",false,,1,Flexible,KES,0,0,40,4.68,4.9,5.0,4.7,4.9,4.9,4.8,2814.0,364077.0,64.6,8342.4,0.121,0.146,7.7,997.5,9.3,1209.6,44,64,321,365,73.0,9432.0,71.7,9266.7,0.011,0.0,0.8,104.8,0.0,0.0,1,0,89,90
39947350,Fun & airy suburban melting pot of cultures!,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/2164f6e9-0dff-4591-a4a0-ae7b70376171.jpg,27,61910613,Karanja,"","",false,-1.2771,36.7928,,,1,0.0,false,"TV,Wifi,Kitchen,Free parking on premises,Smoking allowed,Hot water,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Iron",false,,1,Strict,KES,10,10,4,4.75,5.0,5.0,4.8,4.8,5.0,4.8,328.0,42433.0,25.4,3281.4,0.036,0.0,0.9,116.3,0.0,0.0,13,0,352,365,0.0,0.0,25.3,3263.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
40074444,Lavish Private Room with A Private Balcony,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-40074444/original/0533b438-61db-4c05-a775-55ade9937862.jpeg,17,211252580,Esther,"","",true,-1.2880,36.7800,,,1,0.0,false,"TV,Blender,Wifi,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Books and reading material,Smoking allowed,Hot water,Body soap,Mini fridge,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Outdoor furniture,Microwave,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baking sheet,Freezer,Toaster",true,false,1,Flexible,KES,10,10,10,4.9,4.9,4.9,5.0,5.0,4.9,4.9,681.0,88030.0,19.6,2538.9,0.093,0.11,1.9,241.2,2.2,284.0,34,55,331,365,101.0,13049.0,19.9,2569.7,0.056,0.143,1.1,145.0,2.9,372.8,5,55,85,90
